time;face_valid;bpm
59200;1;71.5137
59233;1;72
59266;1;71.5279
59300;1;71.5137
59333;1;72
59366;1;71.5279
59400;1;71.5137
59433;1;72
59466;1;71.5279
59500;1;71.5137
59533;1;72
59566;1;71.5279
59600;1;107.271
59633;1;108
59666;1;107.292
59700;1;107.271
59733;1;108
59766;1;107.292
59800;1;107.271
59833;1;108
59866;1;107.292
59900;1;107.271
59933;1;108
59966;1;107.292
60000;1;107.271
60033;1;60
60066;1;59.6066
60100;1;59.5948
60133;1;60
60166;1;59.6066
60200;1;83.4327
60233;1;84
60266;1;83.4492
60300;1;83.4327
60333;1;84
60366;1;83.4492
60400;1;83.4327
60433;1;60
60466;1;59.6066
60500;1;59.5948
60533;1;60
60566;1;59.6066
60600;1;59.5948
60633;1;60
60666;1;59.6066
60700;1;59.5948
60733;1;60
60766;1;59.6066
60800;1;59.5948
60833;1;60
60866;1;59.6066
60900;1;59.5948
60933;1;60
60966;1;59.6066
61000;1;59.5948
61033;1;60
61066;1;59.6066
61100;1;59.5948
61133;1;60
61166;1;59.6066
61200;1;59.5948
61233;1;60
61266;1;59.6066
61300;1;59.5948
61333;1;60
61366;1;59.6066
61400;1;59.5948
61433;1;60
61466;1;59.6066
61500;1;59.5948
61533;1;60
61566;1;59.6066
61600;1;59.5948
61633;1;60
61666;1;59.6066
61700;1;59.5948
61733;1;48
61766;1;47.6853
61800;1;47.6758
61833;1;48
61866;1;47.6853
61900;1;47.6758
61933;1;48
61966;1;47.6853
62000;1;47.6758
62033;1;48
62066;1;47.6853
62100;1;95.3516
62133;1;48
62166;1;95.3706
62200;1;47.6758
62233;1;48
62266;1;47.6853
62300;1;47.6758
62333;1;48
62366;1;47.6853
62400;1;95.3516
62433;1;48
62466;1;47.6853
62500;1;47.6758
62533;1;48
62566;1;47.6853
62600;1;47.6758
62633;1;48
62666;1;47.6853
62700;1;47.6758
62733;1;48
62766;1;47.6853
62800;1;47.6758
62833;1;48
62866;1;47.6853
62900;1;47.6758
62933;1;48
62966;1;47.6853
63000;1;47.6758
63033;1;96
63066;1;95.3706
63100;1;95.3516
63133;1;96
63166;1;95.3706
63200;1;95.3516
63233;1;96
63266;1;95.3706
63300;1;95.3516
